brand, url , desc, price, emi, time ,date, Status
Apple iPhone SE (Space Grey| 32 GB),https://www.flipkart.com/apple-iphone-se-space-grey-32-gb/p/itmetm9fypda5rfs?pid=MOBETM9FZWW5UEZG&srno=b_1_1&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM9FZWW5UEZGJKPO31&fm=organic&iid=dcf6e545-6722-4c2f-88ea-1e9a7ef73a1e.MOBETM9FZWW5UEZG.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,19999,970/month,57:22.6,1/29/2018,200
Apple iPhone 7 (Gold| 32 GB),https://www.flipkart.com/apple-iphone-7-gold-32-gb/p/itmen6daf99nhhjz?pid=MOBEMK62HZHC6TFU&srno=b_1_2&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEMK62HZHC6TFUHGVQFY&fm=organic&iid=dcb33969-fda1-4016-80f6-0c04dc0044f2.MOBEMK62HZHC6TFU.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,46999,1607/month,57:26.5,1/29/2018,200
Apple iPhone 7 (Rose Gold| 32 GB),https://www.flipkart.com/apple-iphone-7-rose-gold-32-gb/p/itmen6dapsvxanrk?pid=MOBEMK62JSRHU85T&srno=b_1_3&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEMK62JSRHU85TIU9DKW&fm=organic&iid=d3aac347-b0a1-443e-b6e1-0f5832e61c22.MOBEMK62JSRHU85T.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,44999,1538/month,57:29.9,1/29/2018,200
Apple iPhone 6s (Gold| 32 GB),https://www.flipkart.com/apple-iphone-6s-gold-32-gb/p/itmen2yynt6bz3gg?pid=MOBEN2YYQH8PSYXG&srno=b_1_4&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YYQH8PSYXG4TGFKX&fm=organic&iid=f1c22612-a061-494b-8588-ea1368f31454.MOBEN2YYQH8PSYXG.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,36999,1265/month,57:34.1,1/29/2018,200
Apple iPhone SE (Rose Gold| 32 GB),https://www.flipkart.com/apple-iphone-se-rose-gold-32-gb/p/itmetm9fyy3n7zfz?pid=MOBETM93F7DGJNN5&srno=b_1_5&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM93F7DGJNN5VCOWGW&fm=organic&iid=3bdf1124-21f5-4a17-ac0f-703327d71cef.MOBETM93F7DGJNN5.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,19999,970/month,57:38.2,1/29/2018,200
Apple iPhone 6s (Space Grey| 32 GB),https://www.flipkart.com/apple-iphone-6s-space-grey-32-gb/p/itmen2yyjfzpspyg?pid=MOBEN2YYKU9386TQ&srno=b_1_6&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEN2YYKU9386TQCCN1OM&fm=organic&iid=082791de-f3a7-48c5-a108-b961d324c414.MOBEN2YYKU9386TQ.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,35999,1231/month,57:41.9,1/29/2018,200
Apple iPhone 6 (Space Grey| 32 GB),https://www.flipkart.com/apple-iphone-6-space-grey-32-gb/p/itmetmh3hfhnxtcj?pid=MOBETMH3ZYNDPVVC&srno=b_1_7&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETMH3ZYNDPVVC7BAC1S&fm=organic&iid=9b524729-7d59-420d-a5aa-775e3f990ad1.MOBETMH3ZYNDPVVC.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,27999,1358/month,57:45.4,1/29/2018,200
Apple iPhone SE (Gold| 32 GB),https://www.flipkart.com/apple-iphone-se-gold-32-gb/p/itmetm9frzqcdrcm?pid=MOBETM93HMBGUQKH&srno=b_1_8&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM93HMBGUQKHZVFD5O&fm=organic&iid=731cd801-fd43-4806-8768-9ec5c9d99377.MOBETM93HMBGUQKH.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,19999,970/month,57:49.2,1/29/2018,200
Apple iPhone 6 (Gold| 32 GB),https://www.flipkart.com/apple-iphone-6-gold-32-gb/p/itmewxhuufbzchrn?pid=MOBEWXHUSBXVJ7NZ&srno=b_1_9&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBEWXHUSBXVJ7NZVRFXNL&fm=organic&iid=621cef91-0c50-40ba-8e1d-15f713710bfa.MOBEWXHUSBXVJ7NZ.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,27999,1358/month,57:53.0,1/29/2018,200
Apple iPhone SE (Silver| 32 GB),https://www.flipkart.com/apple-iphone-se-silver-32-gb/p/itmetm9fwstfc2qc?pid=MOBETM93KHC97KAV&srno=b_1_10&otracker=clp_metro_expandable_1_apple-categ-94e9d_iPhone_apple-products-store_90ff40fd-a46b-4a40-9440-fbe783136afb_DesktopSite_wp1&lid=LSTMOBETM93KHC97KAVU4MLTY&fm=organic&iid=a121b8e3-2708-4c37-ac22-0ea9195d392d.MOBETM93KHC97KAV.SEARCH,32 GB ROM | 4 inch Retina Display 12MP Rear Camera | 1.2MP Front Camera Li-Ion Battery Apple A9 64-bit processor and Embedded M9 Motion Co-processor Brand Warranty of 1 Year,20999,1019/month,57:56.4,1/29/2018,200
